@relation R_data_frame-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.instance.Resample-S1-Z100.0-weka.filters.unsupervised.attribute.Center

@attribute xP numeric
@attribute yP numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_east {true,false}
@attribute legal_west {true,false}
@attribute dist_g1 numeric
@attribute dist_g2 numeric
@attribute dist_g3 numeric
@attribute dist_g4 numeric
@attribute position_ghost1_x numeric
@attribute position_ghost1_y numeric
@attribute position_ghost2_x numeric
@attribute position_ghost2_y numeric
@attribute position_ghost3_x numeric
@attribute position_ghost3_y numeric
@attribute position_ghost4_x numeric
@attribute position_ghost4_y numeric
@attribute DIRECTION {North,South,East,West,Stop}

@data
4.013725,-2.831373,North,false,true,true,true,-5.529412,-4.998039,-4.341176,-4.429412,-4.945098,-4.476471,-3.75098,-4.741176,4.219608,-3.023529,2.064706,-1.65098,East
10.013725,4.168627,North,true,true,false,true,1.470588,-2.998039,1.658824,-1.429412,10.054902,9.523529,12.24902,7.258824,4.219608,5.976471,6.064706,7.34902,North
9.013725,2.168627,East,false,false,true,true,2.470588,2.001961,2.658824,4.570588,10.054902,9.523529,10.24902,9.258824,4.219608,5.976471,3.064706,8.34902,West
-7.986275,5.168627,South,true,true,true,false,3.470588,5.001961,1.658824,4.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-2.986275,-0.831373,South,true,false,true,true,0.470588,-1.998039,-5.341176,-6.429412,5.054902,-0.476471,2.24902,0.258824,-4.780392,-6.023529,-4.935294,-6.65098,East
-7.986275,2.168627,South,true,true,false,false,8.470588,2.001961,-0.341176,0.570588,3.054902,-2.476471,-0.75098,1.258824,-4.780392,2.976471,-5.935294,0.34902,North
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
10.013725,2.168627,East,true,false,true,true,4.470588,-1.998039,3.658824,1.570588,9.054902,9.523529,12.24902,6.258824,4.219608,5.976471,5.064706,7.34902,North
6.013725,-4.831373,South,true,true,false,false,9.470588,8.001961,5.658824,7.570588,9.054902,11.523529,7.24902,8.258824,5.219608,5.976471,2.064706,6.34902,North
-7.986275,3.168627,South,true,true,false,false,2.470588,5.001961,-2.341176,-1.429412,-2.945098,-1.476471,-2.75098,-2.741176,-5.780392,2.976471,-6.935294,1.34902,South
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
6.013725,-4.831373,South,true,true,false,false,6.470588,9.001961,8.658824,5.570588,8.054902,7.523529,7.24902,9.258824,4.219608,7.976471,4.064706,5.34902,North
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-6.986275,-3.831373,South,true,false,true,true,-1.529412,4.001961,2.658824,9.570588,0.054902,-2.476471,1.24902,0.258824,0.219608,-4.023529,4.064706,-1.65098,East
8.013725,2.168627,West,false,false,true,true,0.470588,1.001961,1.658824,3.570588,11.054902,9.523529,10.24902,9.258824,4.219608,5.976471,3.064706,9.34902,East
2.013725,-3.831373,South,true,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,4.219608,-4.023529,2.064706,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-6.986275,-2.831373,East,false,true,true,true,-1.529412,3.001961,4.658824,9.570588,0.054902,-1.476471,1.24902,0.258824,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-2.986275,-2.831373,East,false,true,true,true,-5.529412,-0.998039,0.658824,5.570588,-4.945098,-4.476471,1.24902,0.258824,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
4.013725,-3.831373,East,true,false,true,true,-5.529412,-4.998039,-2.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,5.219608,-3.023529,2.064706,-1.65098,North
10.013725,2.168627,East,true,false,true,true,4.470588,-1.998039,3.658824,1.570588,9.054902,9.523529,12.24902,6.258824,4.219608,5.976471,5.064706,7.34902,North
-7.986275,3.168627,North,true,true,false,false,7.470588,7.001961,0.658824,1.570588,3.054902,-0.476471,3.24902,1.258824,-3.780392,1.976471,-6.935294,-0.65098,South
-7.986275,-0.831373,South,true,true,true,false,1.470588,4.001961,3.658824,-1.429412,2.054902,0.523529,2.24902,1.258824,-3.780392,2.976471,-7.935294,-0.65098,North
-7.986275,4.168627,North,true,true,false,false,11.470588,4.001961,-1.341176,1.570588,4.054902,-2.476471,-1.75098,0.258824,-5.780392,2.976471,-5.935294,-0.65098,South
-7.986275,11.168627,Stop,false,true,true,false,9.470588,11.001961,7.658824,10.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
7.013725,2.168627,West,false,false,true,true,1.470588,3.001961,-1.341176,2.570588,9.054902,9.523529,11.24902,9.258824,6.219608,5.976471,3.064706,9.34902,East
6.013725,-3.831373,North,false,true,true,false,5.470588,8.001961,6.658824,4.570588,8.054902,7.523529,6.24902,8.258824,4.219608,6.976471,1.064706,5.34902,South
8.013725,2.168627,West,false,false,true,true,1.470588,1.001961,-0.341176,3.570588,10.054902,9.523529,10.24902,9.258824,6.219608,5.976471,3.064706,10.34902,West
6.013725,-3.831373,North,false,true,true,false,8.470588,9.001961,5.658824,3.570588,7.054902,9.523529,6.24902,9.258824,4.219608,5.976471,4.064706,5.34902,East
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
6.013725,-4.831373,South,true,true,false,false,7.470588,11.001961,8.658824,4.570588,8.054902,8.523529,5.24902,9.258824,2.219608,5.976471,2.064706,5.34902,North
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-2.986275,2.168627,South,true,true,false,true,2.470588,-2.998039,-5.341176,-6.429412,4.054902,-0.476471,1.24902,3.258824,-4.780392,-6.023529,-4.935294,-6.65098,North
-4.986275,-0.831373,East,true,true,true,true,-5.529412,-4.998039,-1.341176,-4.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-5.935294,-1.65098,East
-7.986275,3.168627,West,false,true,true,false,-5.529412,-4.998039,-5.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,-6.023529,-8.935294,-0.65098,South
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
6.013725,-3.831373,North,false,true,true,false,6.470588,11.001961,6.658824,4.570588,8.054902,8.523529,4.24902,9.258824,4.219608,6.976471,5.064706,5.34902,East
-7.986275,8.168627,South,true,true,true,false,6.470588,8.001961,4.658824,7.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
6.013725,6.168627,East,false,false,true,true,17.470588,-4.998039,-4.341176,-6.429412,-3.945098,-2.476471,-5.75098,-4.741176,6.219608,5.976471,-2.935294,-6.65098,East
6.013725,6.168627,East,false,false,true,true,17.470588,-4.998039,-4.341176,-6.429412,-3.945098,-2.476471,-5.75098,-4.741176,6.219608,5.976471,-2.935294,-6.65098,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
6.013725,-3.831373,North,false,true,true,false,5.470588,8.001961,6.658824,4.570588,8.054902,7.523529,6.24902,8.258824,4.219608,6.976471,1.064706,5.34902,South
10.013725,3.168627,North,true,true,false,false,2.470588,-1.998039,2.658824,-0.429412,10.054902,9.523529,12.24902,7.258824,4.219608,5.976471,5.064706,7.34902,North
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,3.168627,South,true,true,false,false,1.470588,3.001961,-0.341176,2.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
6.013725,-3.831373,North,false,true,true,false,7.470588,7.001961,5.658824,5.570588,9.054902,10.523529,7.24902,8.258824,6.219608,5.976471,2.064706,7.34902,East
-7.986275,2.168627,South,true,true,false,false,0.470588,2.001961,-1.341176,1.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
6.013725,1.168627,South,true,true,false,false,1.470588,4.001961,0.658824,1.570588,9.054902,9.523529,8.24902,11.258824,4.219608,5.976471,3.064706,8.34902,North
-7.986275,3.168627,North,true,true,false,false,5.470588,5.001961,-2.341176,-1.429412,-0.945098,-2.476471,-2.75098,-2.741176,-5.780392,2.976471,-8.935294,-0.65098,North
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-7.986275,4.168627,North,true,true,false,false,6.470588,5.001961,-0.341176,0.570588,-0.945098,-2.476471,-2.75098,-1.741176,-5.780392,1.976471,-8.935294,-0.65098,South
6.013725,-4.831373,South,true,true,false,false,8.470588,10.001961,8.658824,5.570588,6.054902,7.523529,6.24902,9.258824,4.219608,7.976471,3.064706,5.34902,North
-7.986275,-3.831373,South,true,false,true,false,-5.529412,-3.998039,4.658824,1.570588,-4.945098,-4.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
6.013725,2.168627,North,false,true,true,false,1.470588,1.001961,-0.341176,0.570588,9.054902,10.523529,8.24902,9.258824,4.219608,5.976471,3.064706,7.34902,South
8.013725,2.168627,West,false,false,true,true,0.470588,1.001961,2.658824,2.570588,11.054902,9.523529,10.24902,9.258824,3.219608,5.976471,3.064706,8.34902,East
-7.986275,-1.831373,North,true,true,true,false,-0.529412,-1.998039,-0.341176,-3.429412,-4.945098,4.523529,-5.75098,2.258824,-7.780392,1.976471,-8.935294,-0.65098,North
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-5.986275,-1.831373,South,true,true,true,true,1.470588,5.001961,-0.341176,-3.429412,3.054902,-1.476471,2.24902,3.258824,-4.780392,0.976471,-6.935294,-2.65098,East
6.013725,6.168627,East,false,false,true,true,17.470588,-4.998039,-4.341176,-6.429412,-3.945098,-2.476471,-5.75098,-4.741176,6.219608,5.976471,-2.935294,-6.65098,East
4.013725,6.168627,West,true,false,true,true,-4.529412,-4.998039,-3.341176,-6.429412,6.054902,7.523529,-5.75098,-4.741176,5.219608,5.976471,-3.935294,-6.65098,West
8.013725,2.168627,West,false,false,true,true,0.470588,1.001961,2.658824,2.570588,11.054902,9.523529,10.24902,9.258824,3.219608,5.976471,3.064706,8.34902,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
10.013725,6.168627,North,true,true,true,false,0.470588,-4.998039,-0.341176,-4.429412,9.054902,9.523529,-4.75098,-4.741176,4.219608,5.976471,7.064706,7.34902,North
-1.986275,-1.831373,North,true,true,false,false,-5.529412,-1.998039,-0.341176,0.570588,-4.945098,-4.476471,-1.75098,0.258824,0.219608,-4.023529,2.064706,-1.65098,North
8.013725,2.168627,East,false,false,true,true,2.470588,-0.998039,0.658824,-0.429412,8.054902,8.523529,12.24902,5.258824,5.219608,5.976471,6.064706,7.34902,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-1.986275,-2.831373,East,true,true,true,true,-5.529412,-1.998039,-2.341176,2.570588,-4.945098,-4.476471,-0.75098,0.258824,0.219608,-3.023529,1.064706,-1.65098,North
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-1.986275,-2.831373,South,true,true,true,true,-5.529412,-4.998039,-0.341176,0.570588,-4.945098,-4.476471,-3.75098,-4.741176,2.219608,-3.023529,2.064706,-2.65098,East
6.013725,-3.831373,North,false,true,true,false,5.470588,7.001961,6.658824,4.570588,8.054902,7.523529,7.24902,8.258824,4.219608,6.976471,5.064706,5.34902,South
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
6.013725,6.168627,East,false,false,true,true,17.470588,-4.998039,-4.341176,-6.429412,-3.945098,-2.476471,-5.75098,-4.741176,6.219608,5.976471,-2.935294,-6.65098,East
7.013725,2.168627,East,false,false,true,true,2.470588,4.001961,-0.341176,0.570588,7.054902,8.523529,12.24902,9.258824,7.219608,5.976471,3.064706,7.34902,East
7.013725,-3.831373,East,false,false,true,true,9.470588,8.001961,7.658824,5.570588,5.054902,7.523529,7.24902,8.258824,4.219608,6.976471,3.064706,5.34902,West
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
5.013725,8.168627,West,false,true,true,true,-2.529412,-4.998039,-3.341176,-6.429412,7.054902,7.523529,-2.75098,-4.741176,4.219608,5.976471,-5.935294,-6.65098,South
-7.986275,2.168627,South,true,true,false,false,6.470588,3.001961,-2.341176,0.570588,1.054902,-2.476471,-1.75098,-0.741176,-5.780392,1.976471,-7.935294,-1.65098,South
8.013725,2.168627,East,false,false,true,true,3.470588,3.001961,-1.341176,1.570588,8.054902,9.523529,12.24902,9.258824,7.219608,5.976471,3.064706,8.34902,West
-6.986275,-2.831373,North,true,true,true,true,-5.529412,-4.998039,2.658824,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-5.935294,-1.65098,North
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,0.168627,South,true,true,false,false,-1.529412,0.001961,0.658824,-0.429412,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
6.013725,-3.831373,North,false,true,true,false,7.470588,9.001961,8.658824,4.570588,7.054902,8.523529,6.24902,9.258824,3.219608,7.976471,3.064706,5.34902,South
-7.986275,3.168627,South,true,true,false,false,6.470588,3.001961,-1.341176,0.570588,0.054902,-2.476471,-2.75098,-0.741176,-5.780392,1.976471,-8.935294,-1.65098,South
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,3.168627,South,true,true,false,false,3.470588,4.001961,-1.341176,-2.429412,-1.945098,-1.476471,-2.75098,-1.741176,-4.780392,2.976471,-6.935294,2.34902,South
-2.986275,3.168627,North,false,true,false,true,5.470588,-1.998039,-5.341176,-6.429412,4.054902,-2.476471,2.24902,4.258824,-4.780392,-6.023529,-4.935294,-6.65098,West
6.013725,1.168627,South,true,true,false,false,1.470588,2.001961,2.658824,1.570588,9.054902,9.523529,8.24902,9.258824,2.219608,5.976471,3.064706,8.34902,North
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-1.986275,-1.831373,North,true,true,false,false,-5.529412,-1.998039,-0.341176,0.570588,-4.945098,-4.476471,-1.75098,0.258824,0.219608,-4.023529,2.064706,-1.65098,North
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
4.013725,6.168627,East,true,false,true,true,17.470588,-4.998039,-1.341176,-6.429412,-4.945098,-3.476471,-5.75098,-4.741176,7.219608,5.976471,-4.935294,-6.65098,East
9.013725,-1.831373,North,true,true,false,false,9.470588,8.001961,5.658824,7.570588,9.054902,11.523529,6.24902,7.258824,5.219608,5.976471,3.064706,9.34902,North
6.013725,2.168627,North,false,true,true,false,1.470588,2.001961,1.658824,1.570588,10.054902,9.523529,9.24902,9.258824,2.219608,5.976471,3.064706,8.34902,East
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-6.986275,-0.831373,North,false,true,true,true,-5.529412,-4.998039,0.658824,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-5.935294,-1.65098,East
-7.986275,-2.831373,South,true,true,true,false,-4.529412,-2.998039,3.658824,0.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
6.013725,-3.831373,West,false,true,true,false,6.470588,11.001961,6.658824,4.570588,8.054902,8.523529,4.24902,9.258824,3.219608,5.976471,3.064706,5.34902,South
-7.986275,-0.831373,North,true,true,true,false,-2.529412,-3.998039,-2.341176,-3.429412,-4.945098,3.523529,-5.75098,1.258824,-8.780392,1.976471,-9.935294,-0.65098,North
-7.986275,10.168627,South,true,true,false,false,8.470588,10.001961,6.658824,9.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
6.013725,-3.831373,West,false,true,true,false,6.470588,11.001961,6.658824,4.570588,8.054902,8.523529,4.24902,9.258824,3.219608,5.976471,3.064706,5.34902,South
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,1.168627,South,true,true,false,false,5.470588,5.001961,1.658824,-4.429412,2.054902,-1.476471,2.24902,0.258824,-3.780392,2.976471,-7.935294,0.34902,South
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
8.013725,2.168627,East,false,false,true,true,0.470588,2.001961,3.658824,1.570588,11.054902,9.523529,9.24902,9.258824,2.219608,5.976471,3.064706,8.34902,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,-2.831373,South,true,true,true,false,-4.529412,-2.998039,3.658824,0.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
-3.986275,-0.831373,East,true,true,true,true,-5.529412,-4.998039,-2.341176,-5.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-5.935294,-1.65098,East
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-7.986275,2.168627,South,true,true,false,false,6.470588,3.001961,-2.341176,0.570588,1.054902,-2.476471,-1.75098,-0.741176,-5.780392,1.976471,-7.935294,-1.65098,South
-3.986275,-2.831373,East,false,true,true,true,-3.529412,-1.998039,-0.341176,2.570588,1.054902,-1.476471,0.24902,-0.741176,0.219608,-3.023529,1.064706,-1.65098,East
-7.986275,4.168627,South,true,true,false,false,2.470588,6.001961,-1.341176,-0.429412,-2.945098,-0.476471,-2.75098,-2.741176,-5.780392,2.976471,-5.935294,1.34902,South
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
6.013725,-3.831373,North,false,true,true,false,6.470588,8.001961,7.658824,5.570588,8.054902,8.523529,6.24902,8.258824,3.219608,6.976471,5.064706,5.34902,South
-2.986275,-0.831373,South,true,false,true,true,0.470588,0.001961,-5.341176,-6.429412,5.054902,-0.476471,2.24902,2.258824,-4.780392,-6.023529,-4.935294,-6.65098,North
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
2.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,-0.831373,South,true,true,true,false,4.470588,4.001961,2.658824,-2.429412,3.054902,-1.476471,3.24902,0.258824,-3.780392,1.976471,-6.935294,-1.65098,East
6.013725,-4.831373,South,true,true,false,false,6.470588,11.001961,7.658824,5.570588,8.054902,7.523529,5.24902,9.258824,3.219608,5.976471,3.064706,5.34902,North
8.013725,2.168627,West,false,false,true,true,1.470588,1.001961,-0.341176,3.570588,10.054902,9.523529,10.24902,9.258824,6.219608,5.976471,3.064706,10.34902,West
8.013725,-3.831373,East,false,false,true,true,10.470588,9.001961,4.658824,9.570588,9.054902,11.523529,6.24902,7.258824,7.219608,5.976471,3.064706,8.34902,East
-7.986275,3.168627,North,true,true,false,false,8.470588,4.001961,-1.341176,0.570588,3.054902,-1.476471,-0.75098,0.258824,-4.780392,2.976471,-5.935294,-0.65098,South
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
4.013725,-2.831373,North,false,true,true,true,-5.529412,-4.998039,-4.341176,-4.429412,-4.945098,-4.476471,-3.75098,-4.741176,4.219608,-3.023529,2.064706,-1.65098,East
-2.986275,0.168627,North,true,true,false,true,-5.529412,-4.998039,-2.341176,-6.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-4.935294,-6.65098,North
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
